"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"T^C","AT&T Inc.","26.24","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/t^c",
"TBB","AT&T Inc.","26.89","n/a","2017","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tbb",
"TBC","AT&T Inc.","27.64","n/a","2018","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tbc",
"AACG","ATA Creativity Global","1.12","$35.11M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/aacg",
"ATRA","Atara Biotherapeutics, Inc.","19.53","$1.52B","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/atra",
"AVIR","Atea Pharmaceuticals, Inc.","32.46","$2.68B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/avir",
"ATTO","Atento S.A.","11.24","$157.66M","2014","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/atto",
"ATH","Athene Holding Ltd.","42.96","$8.23B","2016","Finance","Life Insurance","https://old.nasdaq.com/symbol/ath",
"ATH^A","Athene Holding Ltd.","27.75","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ath^a",
"ATH^B","Athene Holding Ltd.","27.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ath^b",
"ATH^C","Athene Holding Ltd.","27.83","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ath^c",
"ATNX","Athenex, Inc.","13.05","$1.22B","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnx",
"ATHX","Athersys, Inc.","1.77","$349.93M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/athx",
"ATHA","Athira Pharma, Inc.","24.6","$799.14M","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/atha",
"ATIF","ATIF Holdings Limited","0.7049","$33.14M","2019","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/atif",
"ATKR","Atkore International Group Inc.","28.72","$1.36B","2016","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/atkr",
"AAME","Atlantic American Corporation","2.12","$43.28M","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aame",
"ACBI","Atlantic Capital Bancshares, Inc.","15.69","$326.03M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acbi",
"AT","Atlantic Power Corporation","2.09","$186.48M","n/a","Energy","Electric Utilities: Central","https://old.nasdaq.com/symbol/at",
"ASAQ","Atlantic Street Acquisition Corp","9.66","$310.93M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/asaq",
"ASAQ.U","Atlantic Street Acquisition Corp","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/asaq.u",
"ASAQ.WS","Atlantic Street Acquisition Corp","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/asaq.ws",
"AUB","Atlantic Union Bankshares Corporation","31.11","$2.45B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/aub",
"AUBAP","Atlantic Union Bankshares Corporation","26.9","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/aubap",
"AY","Atlantica Sustainable Infrastructure plc","34.3","$3.48B","2014","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/ay",
"ATLC","Atlanticus Holdings Corporation","16.29","$260.59M","1995","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/atlc",
"AAWW","Atlas Air Worldwide Holdings","55.1","$1.52B","n/a","Transportation","Transportation Services","https://old.nasdaq.com/symbol/aaww",
"ATCO","Atlas Corp.","11.44","$2.81B","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/atco",
"ATCO^D","Atlas Corp.","24.73","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atco^d",
"ATCO^E","Atlas Corp.","25.245","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atco^e",
"ATCO^G","Atlas Corp.","25.44","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atco^g",
"ATCO^H","Atlas Corp.","24.39","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atco^h",
"ATCO^I","Atlas Corp.","24","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/atco^i",
"ACIC.U","Atlas Crest Investment Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/acic.u",
"ATCX","Atlas Technical Consultants, Inc.","6.72","$39.24M","2019","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/atcx",
"ATCXW","Atlas Technical Consultants, Inc.","1.08","n/a","2019","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/atcxw",
"TEAM","Atlassian Corporation Plc","189.46","$47.21B","2015","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/team",
"ATO","Atmos Energy Corporation","101.28","$12.49B","n/a","Public Utilities","Oil/Gas Transmission","https://old.nasdaq.com/symbol/ato",
"ATNI","ATN International, Inc.","51.27","$815.11M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/atni",
"ATOM","Atomera Incorporated","9.615","$206.29M","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/atom",
"ATOS","Atossa Therapeutics, Inc.","1.51","$15.7M","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atos",
"BCEL","Atreca, Inc.","15.26","$560.14M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bcel",
"ATRC","AtriCure, Inc.","40.7","$1.83B","2005","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/atrc",
"ATRI","Atrion Corporation","612.5","$1.12B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/atri",
"LIFE","aTyr Pharma, Inc.","3.32","$33.23M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/life",
"AUBN","Auburn National Bancorporation, Inc.","39.89","$142.26M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/aubn",
"AUUD","Auddia Inc.","n/a","n/a","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/auud",
"AUUDW","Auddia Inc.","n/a","n/a","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/auudw",
"AUDC","AudioCodes Ltd.","26.58","$868.77M","1999","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/audc",
"AEYE","AudioEye, Inc.","17.97","$180.06M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aeye",
"AUPH","Aurinia Pharmaceuticals Inc","13.36","$1.69B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/auph",
"EARS","Auris Medical Holding Ltd.","0.94","$6.66M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ears",
"ACB","Aurora Cannabis Inc.","6.81","$1.09B","2018","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/acb",
"JG","Aurora Mobile Limited","2.07","$239.55M","2018","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/jg",
"ADSK","Autodesk, Inc.","248.79","$54.55B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/adsk",
"ATHM","Autohome Inc.","99.83","$11.89B","2013","Technology","EDP Services","https://old.nasdaq.com/symbol/athm",
"ALV","Autoliv, Inc.","89.61","$7.83B","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/alv",
"AUTL","Autolus Therapeutics plc","10.76","$562.74M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/autl",
"ADP","Automatic Data Processing, Inc.","177.05","$75.92B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/adp",
"AN","AutoNation, Inc.","62.34","$5.48B","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/an",
"AUTO","AutoWeb, Inc.","2.29","$30.16M","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/auto",
"AZO","AutoZone, Inc.","1146.02","$26.56B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/azo",
"AVDL","Avadel Pharmaceuticals plc","7.21","$420.15M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/avdl",
"AHI","Avadim Health, Inc.","n/a","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/ahi",
"AVLR","Avalara, Inc.","151.38","$12.8B","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/avlr",
"AVCO","Avalon GloboCare Corp.","1.24","$100.93M","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/avco",
"AWX","Avalon Holdings Corporation","1.95","$7.56M","n/a","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/awx",
"AVB","AvalonBay Communities, Inc.","173.35","$24.2B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/avb",
"AGR","Avangrid, Inc.","50.29","$15.54B","2015","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/agr",
"AVNS","Avanos Medical, Inc.","42.64","$2.04B","2014","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/avns",
"AVAN.U","Avanti Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/avan.u",
"AVTR","Avantor, Inc.","27.07","$15.66B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/avtr",
"AVTR^A","Avantor, Inc.","86.16","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/avtr^a",
"AVYA","Avaya Holdings Corp.","18.79","$1.56B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/avya",
"ATXI","Avenue Therapeutics, Inc.","3.37","$56.44M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atxi",
"AVEO","AVEO Pharmaceuticals, Inc.","5.91","$170.26M","2010","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aveo",
"AVY","Avery Dennison Corporation","152.6","$12.73B","n/a","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/avy",
"AVNW","Aviat Networks, Inc.","28.47","$155.49M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/avnw",
"CDMO","Avid Bioservices, Inc.","9.16","$518.48M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cdmo",
"CDMOP","Avid Bioservices, Inc.","26.99","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cdmop",
"AVID","Avid Technology, Inc.","11.5","$508.39M","1993","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/avid",
"RNA","Avidity Biosciences, Inc.","28.81","$1.08B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rna",
"AVNT","Avient Corporation","36.3","$3.32B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/avnt",
"AVGR","Avinger, Inc.","0.2685","$22.8M","2015","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/avgr",
"ASM","Avino Silver","1.01","$90.46M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/asm",
"CAR","Avis Budget Group, Inc.","37.16","$2.59B","n/a","Consumer Services","Rental/Leasing Companies","https://old.nasdaq.com/symbol/car",
"AVA","Avista Corporation","39.14","$2.69B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/ava",
"RCEL","Avita Therapeutics, Inc.","21.98","$475.28M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/rcel",
"AVT","Avnet, Inc.","29.85","$2.95B","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/avt",
"AVRO","AVROBIO, Inc.","16.22","$591.23M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/avro",
"AWRE","Aware, Inc.","2.61","$55.98M","1996","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/awre",
"AXTA","Axalta Coating Systems Ltd.","28.3","$6.66B","2014","Basic Industries","Paints/Coatings","https://old.nasdaq.com/symbol/axta",
"ACLS","Axcelis Technologies, Inc.","26.67","$893.34M","2000","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acls",
"AXLA","Axcella Health Inc.","5.33","$194.26M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/axla",
"AXS","Axis Capital Holdings Limited","50.98","$4.3B","2003","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/axs",
"AXS^E","Axis Capital Holdings Limited","26.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/axs^e",
"AXGN","AxoGen, Inc.","15.11","$606.31M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/axgn",
"AAXN","Axon Enterprise, Inc.","119.33","$7.58B","n/a","Capital Goods","Ordnance And Accessories","https://old.nasdaq.com/symbol/aaxn",
"AXNX","Axonics Modulation Technologies, Inc.","46.64","$1.86B","2018","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/axnx",
"AX","Axos Financial, Inc.","34.17","$2.02B","2018","Finance","Savings Institutions","https://old.nasdaq.com/symbol/ax",
"AXO","Axos Financial, Inc.","25.63","n/a","2018","Finance","Savings Institutions","https://old.nasdaq.com/symbol/axo",
"AXSM","Axsome Therapeutics, Inc.","74.29","$2.77B","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/axsm",
"AXTI","AXT Inc","7.84","$323.79M","1998","Technology","Semiconductors","https://old.nasdaq.com/symbol/axti",
"AYLA","Ayala Pharmaceuticals, Inc.","10.79","$137.89M","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/ayla",
"AYRO","AYRO, Inc.","4.01","$97.44M","n/a","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/ayro",
"AYTU","Aytu BioScience, Inc.","0.9498","$121.51M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aytu",
"AZYO","Aziyo Biologics, Inc.","12.85","$131.4M","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/azyo",
"AZUL","Azul S.A.","17.8","$2.03B","2017","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/azul",
"AZRE","Azure Power Global Limited","28.98","$1.39B","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/azre",
"AZRX","AzurRx BioPharma, Inc.","0.7005","$19.97M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/azrx",
"AZZ","AZZ Inc.","41.2","$1.07B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/azz",
"BGS","B&G Foods, Inc.","26.84","$1.72B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/bgs",
"RILY","B. Riley Financial, Inc.","31.16","$792.45M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rily",
"RILYG","B. Riley Financial, Inc.","24.97","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyg",
"RILYH","B. Riley Financial, Inc.","25.35","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyh",
"RILYI","B. Riley Financial, Inc.","25.05","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyi",
"RILYL","B. Riley Financial, Inc.","25.29","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyl",
"RILYM","B. Riley Financial, Inc.","24.16","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilym",
"RILYN","B. Riley Financial, Inc.","24.24","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyn",
"RILYO","B. Riley Financial, Inc.","24.77","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyo",
"RILYP","B. Riley Financial, Inc.","24.99","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyp",
"RILYZ","B. Riley Financial, Inc.","24.95","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/rilyz",
"BMRG","B. Riley Principal Merger Corp. II","10.68","$240.57M","2020","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/bmrg",
"BMRG.U","B. Riley Principal Merger Corp. II","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/bmrg.u",
"BMRG.WS","B. Riley Principal Merger Corp. II","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bmrg.ws",
"BOSC","B.O.S. Better Online Solutions","2.61","$11.27M","n/a","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/bosc",
"BTG","B2Gold Corp","6.03","$6.34B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/btg",
"BW","Babcock","2.88","$149.79M","2015","Capital Goods","Building Products","https://old.nasdaq.com/symbol/bw",
"BGH","Babson Global Short Duration High Yield Fund","13.85","$277.89M","2012","n/a","n/a","https://old.nasdaq.com/symbol/bgh",
"BMI","Badger Meter, Inc.","79.77","$2.32B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/bmi",
"BIDU","Baidu, Inc.","147.84","$50.42B","2005","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/bidu",
"BCSF","Bain Capital Specialty Finance, Inc.","11.01","$710.83M","2018","n/a","n/a","https://old.nasdaq.com/symbol/bcsf",
"BKR","Baker Hughes Company","18.79","$19.45B","2017","Energy","Metal Fabrications","https://old.nasdaq.com/symbol/bkr",
"BCPC","Balchem Corporation","107.2","$3.47B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/bcpc",
"BBN","BalckRock Taxable Municipal Bond Trust","25.59","$1.46B","2010","n/a","n/a","https://old.nasdaq.com/symbol/bbn",
"BLL","Ball Corporation","96.76","$31.65B","n/a","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/bll",
"BTN","Ballantyne Strong, Inc","1.75","$25.88M","n/a","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/btn",
"BLDP","Ballard Power Systems, Inc.","17.02","$4.44B","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/bldp",
"BALY","Bally&#39;s Corporation","30","$914.28M","2019","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/baly",
"BANC","Banc of California, Inc.","13.8","$693.32M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/banc",
"BANC^D","Banc of California, Inc.","25.6113","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/banc^d",
"BANC^E","Banc of California, Inc.","25.57","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/banc^e",
"BANF","BancFirst Corporation","56.22","$1.84B","1993","Finance","Major Banks","https://old.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","28","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/banfp",
"BBAR","Banco BBVA Argentina S.A.","3.23","$659.68M","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bbar",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","4.21","$28.02B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bbva",
"BBD","Banco Bradesco Sa","4.68","$41.35B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","4.11","$36.31B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bbdo",
"BCH","Banco De Chile","18.99","$9.59B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bch",
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","14.36","$569.69M","1992","Finance","Commercial Banks","https://old.nasdaq.com/symbol/blx",
"BSBR","Banco Santander Brasil SA","7","$52.23B","2009","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bsbr",
"BSAC","Banco Santander Chile","18.21","$8.58B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bsac",
"BSMX","Banco Santander Mexico, S.A., Institucion de Ban","4.86","$6.6B","2012","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bsmx",
"SAN","Banco Santander, S.A.","2.75","$91.4B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/san",
"SAN^B","Banco Santander, S.A.","25.21","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/san^b",
"CIB","BanColombia S.A.","31.13","$7.49B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/cib",
"BXS","BancorpSouth Bank","27.24","$2.79B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bxs",
"BXS^A","BancorpSouth Bank","26.34","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bxs^a",
"BCV","Bancroft Fund Limited","27.7","$148.28M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bcv",
"BCV^A","Bancroft Fund Limited","25.74","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bcv^a",
"BAND","Bandwidth Inc.","141.65","$3.43B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/band",
"BFC","Bank First Corporation","66.86","$516.83M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bfc",
"BAC","Bank of America Corporation","27.58","$238.59B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bac",
"BAC^A","Bank of America Corporation","25.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bac^a",
"BAC^B","Bank of America Corporation","27.64","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bac^b",
"BAC^C","Bank of America Corporation","25.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bac^c",
"BAC^E","Bank of America Corporation","24.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bac^e",
"BAC^K","Bank of America Corporation","27.61","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bac^k",
"BAC^L","Bank of America Corporation","1500.84","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bac^l",
"BAC^M","Bank of America Corporation","27.52","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bac^m",
"BAC^N","Bank of America Corporation","26.93","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bac^n",
"BAC^O","Bank of America Corporation","25.65","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bac^o",
"BML^G","Bank of America Corporation","21.99","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bml^g",
"BML^H","Bank of America Corporation","21.56","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bml^h",
"BML^J","Bank of America Corporation","25.08","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bml^j",
"BML^L","Bank of America Corporation","24.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bml^l",
"BOCH","Bank of Commerce Holdings (CA)","9.36","$157.12M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/boch",
"BOH","Bank of Hawaii Corporation","75.29","$3.02B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/boh",
"BMRC","Bank of Marin Bancorp","36","$490.16M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bmrc",
"BMLP","Bank Of Montreal","32.9702","n/a","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bmlp",
"BMO","Bank Of Montreal","68.64","$44.12B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bmo",
"NTB","Bank of N.T. Butterfield & Son Limited (The)","33.51","$1.68B","2016","Finance","Commercial Banks","https://old.nasdaq.com/symbol/ntb",
"BNS","Bank of Nova Scotia (The)","47.41","$57.43B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bns",
"BKSC","Bank of South Carolina Corp.","16.46","$90.87M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bksc",
"BOTJ","Bank of the James Financial Group, Inc.","11.18","$48.51M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/botj",
"OZK","Bank OZK","29.06","$3.76B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ozk",
"BSVN","Bank7 Corp.","11.86","$97.92M","2018","Finance","Major Banks","https://old.nasdaq.com/symbol/bsvn",
"BFIN","BankFinancial Corporation","8.45","$124.9M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/bfin",
"BKU","BankUnited, Inc.","29.86","$2.76B","2011","Finance","Savings Institutions","https://old.nasdaq.com/symbol/bku",
"BWFG","Bankwell Financial Group, Inc.","18.2","$143.72M","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/bwfg",
"BANR","Banner Corporation","46.08","$1.62B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/banr",
"BZUN","Baozun Inc.","39.69","$3.09B","2015","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/bzun",
"BHB","Bar Harbor Bankshares, Inc.","24.78","$369.93M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bhb",
"BCS","Barclays PLC","7.22","$31.33B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bcs",
"DFVL","Barclays PLC","84.215","$6M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dfvl",
"DFVS","Barclays PLC","13.97","$1.9M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dfvs",
"TAPR","Barclays PLC","86","$52.17M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tapr",
"BBDC","Barings BDC, Inc.","8.42","$403.84M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bbdc",
"MCI","Barings Corporate Investors","13.95","$282.65M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mci",
"MPV","Barings Participation Investors","12.89","$136.66M","1988","Consumer Services","Miscellaneous","https://old.nasdaq.com/symbol/mpv",
"BNED","Barnes & Noble Education, Inc","3.49","$169.73M","2015","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/bned",
"B","Barnes Group, Inc.","46","$2.33B","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/b",
"BRN","Barnwell Industries, Inc.","0.99","$8.19M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/brn",
"BBSI","Barrett Business Services, Inc.","72.18","$551.91M","1993","Technology","Professional Services","https://old.nasdaq.com/symbol/bbsi",
"GOLD","Barrick Gold Corporation","25.86","$45.98B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gold",
"GOLD","Barrick Gold Corporation","25.86","$45.98B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gold",
"BSET","Bassett Furniture Industries, Incorporated","15.33","$152.94M","n/a","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/bset",
"ZTEST","BATS BZX Exchange","10.1","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ztest",
"BATL","Battalion Oil Corporation","6.75","$109.38M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/batl",
"BXRX","Baudax Bio, Inc.","1.13","$29.65M","n/a","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/bxrx",
